1 1 0 19f3 07 60d80529ed4d 0000 0f 000000000000
0 1 1 6861 08 0a24ca7c82c4 1209 0a 182209080602
0 1 1 95c0 08 6a50828862c1 40c9 0a 0d204024b27a
0 1 1 5508 08 49404531a20a f064 0a 2cb000067140
0 1 1 18c8 08 492894258619 e9de 09 5d9201b09388
0 1 1 0cd3 07 7c7f9288ae61 9760 0a 64768c149040
0 1 1 973e 07 7ca989f2a7ad 56a8 08 08d9eb229310
0 1 1 38c8 07 949c30c70895 0041 0a 00d009509101
0 1 1 4d44 07 e403b9fc04ce 8ef8 08 c19368ea9411
0 1 1 01a2 08 003091251ac8 a040 0a 40b050251341
0 1 1 0d24 08 801a8109166b 0284 0a 090019614440
0 1 1 a6c8 08 214090453252 9505 09 71150d0400db
0 1 1 b101 08 25f44151421a 0ae0 0a 258310870040
0 1 1 9342 07 6a55369982d0 c50c 0a 300092048540
0 1 1 344b 08 0d14534436d5 892a 0a 64088100b248
0 1 1 8285 08 409088a8914a 8220 0b a40048048000
0 1 1 75fb 08 5092da64ba11 01c3 0a 0802443000d3
0 1 1 2718 08 0cc0d265d4c6 31b7 08 01b4532734ec
0 1 1 5938 08 44a8041a28a8 0a80 0b 040208200231
0 1 1 ebab 08 28a43261161a 8e0e 09 380588090688
0 1 1 d315 08 49225c60a881 910c 0a 647801200440
0 1 1 4833 07 461d9684b475 e571 09 4d0049b1360c
0 1 1 bf11 08 8cb6e9686211 4035 0a 09200b0120eb
0 1 1 225c 07 32306a6cd29e 0d23 09 b1864a2ca465
0 1 1 5a9c 07 692210b0b470 90d5 09 4750c14c2b0e
0 1 1 0054 08 2051820834c1 7c1d 0a 1ca3c30042d1
0 1 1 4810 07 8d1845122483 9616 09 51e04900135b
0 1 1 96d8 07 4954ad95146c 2561 09 17c091889061
0 1 1 0c49 08 2a8ccc081261 c652 09 2884891221f8
0 1 1 80ce 08 84246a650453 a102 0a 248401a4a012
0 1 1 c746 08 6c864d0430c8 c0c3 0a e8900828900a
0 1 1 0016 08 2d12bd043489 3400 0a 611340040088
