token_slot,token_position,token_id,channel_slot,output_channel,setup_cycle,first_valid_cycle,final_cycle
0,128,22040,0,0,0,1,688
0,128,22040,1,273,689,690,1377
0,128,22040,2,546,1378,1379,2066
0,128,22040,3,819,2067,2068,2755
0,128,22040,4,1092,2756,2757,3444
0,128,22040,5,1365,3445,3446,4133
0,128,22040,6,1638,4134,4135,4822
0,128,22040,7,1911,4823,4824,5511
0,128,22040,8,2184,5512,5513,6200
0,128,22040,9,2457,6201,6202,6889
0,128,22040,10,2730,6890,6891,7578
0,128,22040,11,3003,7579,7580,8267
0,128,22040,12,3276,8268,8269,8956
0,128,22040,13,3549,8957,8958,9645
0,128,22040,14,3822,9646,9647,10334
0,128,22040,15,4095,10335,10336,11023
1,129,4518,0,0,11024,11025,11712
1,129,4518,1,273,11713,11714,12401
1,129,4518,2,546,12402,12403,13090
1,129,4518,3,819,13091,13092,13779
1,129,4518,4,1092,13780,13781,14468
1,129,4518,5,1365,14469,14470,15157
1,129,4518,6,1638,15158,15159,15846
1,129,4518,7,1911,15847,15848,16535
1,129,4518,8,2184,16536,16537,17224
1,129,4518,9,2457,17225,17226,17913
1,129,4518,10,2730,17914,17915,18602
1,129,4518,11,3003,18603,18604,19291
1,129,4518,12,3276,19292,19293,19980
1,129,4518,13,3549,19981,19982,20669
1,129,4518,14,3822,20670,20671,21358
1,129,4518,15,4095,21359,21360,22047
2,130,525,0,0,22048,22049,22736
2,130,525,1,273,22737,22738,23425
2,130,525,2,546,23426,23427,24114
2,130,525,3,819,24115,24116,24803
2,130,525,4,1092,24804,24805,25492
2,130,525,5,1365,25493,25494,26181
2,130,525,6,1638,26182,26183,26870
2,130,525,7,1911,26871,26872,27559
2,130,525,8,2184,27560,27561,28248
2,130,525,9,2457,28249,28250,28937
2,130,525,10,2730,28938,28939,29626
2,130,525,11,3003,29627,29628,30315
2,130,525,12,3276,30316,30317,31004
2,130,525,13,3549,31005,31006,31693
2,130,525,14,3822,31694,31695,32382
2,130,525,15,4095,32383,32384,33071
3,131,29879,0,0,33072,33073,33760
3,131,29879,1,273,33761,33762,34449
3,131,29879,2,546,34450,34451,35138
3,131,29879,3,819,35139,35140,35827
3,131,29879,4,1092,35828,35829,36516
3,131,29879,5,1365,36517,36518,37205
3,131,29879,6,1638,37206,37207,37894
3,131,29879,7,1911,37895,37896,38583
3,131,29879,8,2184,38584,38585,39272
3,131,29879,9,2457,39273,39274,39961
3,131,29879,10,2730,39962,39963,40650
3,131,29879,11,3003,40651,40652,41339
3,131,29879,12,3276,41340,41341,42028
3,131,29879,13,3549,42029,42030,42717
3,131,29879,14,3822,42718,42719,43406
3,131,29879,15,4095,43407,43408,44095
4,132,13740,0,0,44096,44097,44784
4,132,13740,1,273,44785,44786,45473
4,132,13740,2,546,45474,45475,46162
4,132,13740,3,819,46163,46164,46851
