1 00000000 0 000000000000000000000000 00000000 0 000000000000000000000000
0 00000000 0 000000000000000000000000 f01fca3f 9 d34bc1ca8745547e469133a5
0 00000000 0 000000000000000000000000 50530a0d 1a 18736cb5ec851ff90e2ba0fc
0 00000000 0 000000000000000000000000 605bb72a 9 e10a4ce275b49af974f6659b
1 00000000 f 000000000000000000000004 00000000 0 000000000000000000000000
0 00000000 f 000000000000000000000004 00000000 f 000000000000000000000001
1 00000000 10 ffffffffffffffffffffffff 00000000 0 000000000000000000000000
0 00000000 10 ffffffffffffffffffffffff 00000000 10 ffffffffffffffffffffffff
0 00000000 10 ffffffffffffffffffffffff 00000000 10 ffffffffffffffffffffffff
1 ffff0000 f 8caced854c966cd35edbcdab 00000000 0 000000000000000000000000
0 ffff0000 f 8caced854c966cd35edbcdab 00000000 f 249249249249249249249249
1 00000000 f 000000000000000000000e00 00000000 0 000000000000000000000000
0 00000000 f 000000000000000000000e00 00000000 1c 000000000000000000000e00
0 00000000 f 000000000000000000000e00 00000000 2 000000000000000000000200
0 00000000 f 000000000000000000000e00 00000000 1c 000000000000000000000e00
0 00000000 f 000000000000000000000e00 00000000 2 000000000000000000000200
1 397a388a 10 008600400000000000128000 00000000 0 000000000000000000000000
0 397a388a 10 008600400000000000128000 4c6cfdf8 8 0838100001a9c07340628002
0 397a388a 10 008600400000000000128000 10acd75b a 7fc374dcc29e925852163649
1 2e5eb95d 4 9cb386e798c5fdbf95a0c406 00000000 0 000000000000000000000000
0 2e5eb95d 4 9cb386e798c5fdbf95a0c406 8081fed8 f 201a0160a400200e07180182
1 447230a6 1b 4061c78478180c1630000e00 00000000 0 000000000000000000000000
0 447230a6 1b 4061c78478180c1630000e00 2d715818 7 800f7c1016860a8000c00b40
0 447230a6 1b 4061c78478180c1630000e00 9e4b26fe a 9d8e75dd9b8425f9b7a4ff07
0 447230a6 1b 4061c78478180c1630000e00 a6a542d8 4 10096063d6840d0038006a00
1 518ed566 6 b471c415dc40098080810403 00000000 0 000000000000000000000000
0 518ed566 6 b471c415dc40098080810403 0ae3ed0b 5 fe47a959e3844aac0e965138
0 518ed566 6 b471c415dc40098080810403 8b474390 d 40ce2621803679b58c244619
1 caec1479 a dc3989047b4e5336b9610e9d 00000000 0 000000000000000000000000
0 caec1479 a dc3989047b4e5336b9610e9d 72385a83 c 005e38010170c3000b8c0003
0 caec1479 a dc3989047b4e5336b9610e9d 148d7eff 6 0e23314156b642666d392fe3
0 caec1479 a dc3989047b4e5336b9610e9d 3022635c 1b a6ae97a8cadf94ece8c836dc
0 caec1479 a dc3989047b4e5336b9610e9d 49dea3a0 d 0097ef393c3feaacf869730a
0 caec1479 a dc3989047b4e5336b9610e9d 8eeac9c1 1d 1d34af7de6bd283cc3f0b4ff
0 caec1479 a dc3989047b4e5336b9610e9d 086d6d4b 2 0020001c00271f80052fbe29
1 c11a4ac1 1 e39d9e1d50d00c02091171f5 00000000 0 000000000000000000000000
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 f2cc9572 1e 2e0743b36a61ee9919b4758f
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 f130d48e 1a f8663b10d3740ae5dfe0b392
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 9337ebec 13 0800000001d80210002300c0
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 bd3b3759 8 e17b60153402018028c00000
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 6c57803d 15 67e3397fae28e8915b2ed19b
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 cd355ff1 10 0301c006801000002f000940
0 c11a4ac1 1 e39d9e1d50d00c02091171f5 c97b1af5 1e bd3b3afdb789fa8e4103943d
1 63095c35 1e 61b5ebb4a221d793abe614ed 00000000 0 000000000000000000000000
0 63095c35 1e 61b5ebb4a221d793abe614ed 984f1b34 f 01bbd1168a0002f08b1c0010
0 63095c35 1e 61b5ebb4a221d793abe614ed b0f6f7a1 d 12c5b56b0fa429dfd99ae123
0 63095c35 1e 61b5ebb4a221d793abe614ed c6fdc68b 8 255ee626d1bd6a4c1cda475a
0 63095c35 1e 61b5ebb4a221d793abe614ed 57281c17 d e88d81ac1b184ec9515ae0f1
1 93ff9a67 10 a2c0c28fbff56e642d470fe3 00000000 0 000000000000000000000000
